"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./bp_sets/ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.79103,3,10,22,52,0,10,4,1,0
"./bp_sets/ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.81788,2,3,6,12,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.785757,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.792863,2,2,4,8,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.815789,2,3,10,14,2,3,1,1,0
"./bp_sets/ltl3tela.hoa:111.1-128.7",,2,4,5,13,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.790362,2,4,5,13,0,4,0,0,0
"./bp_sets/ltl3tela.hoa:129.1-143.7",,1,2,3,4,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.775791,1,2,3,4,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:144.1-154.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.784327,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:155.1-181.7",,3,6,12,45,1,4,2,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.79599,3,6,12,45,1,4,2,1,0
"./bp_sets/ltl3tela.hoa:182.1-193.7",,1,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.789595,1,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:194.1-204.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.869134,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:205.1-322.7",,3,29,80,190,1,26,10,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.82004,3,29,80,190,1,26,10,1,0
"./bp_sets/ltl3tela.hoa:323.1-338.7",,3,2,4,16,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.789445,3,2,4,16,1,1,0,0,0
"./bp_sets/ltl3tela.hoa:339.1-356.7",,3,3,5,14,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.800395,3,3,5,14,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:357.1-382.7",,3,5,12,39,0,5,3,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.786668,3,5,12,39,0,5,3,1,0
"./bp_sets/ltl3tela.hoa:383.1-399.7",,2,4,4,7,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.844141,2,4,4,7,0,4,0,0,0
"./bp_sets/ltl3tela.hoa:400.1-411.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.785317,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:412.1-434.7",,3,5,9,34,1,5,4,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.783454,3,5,9,34,1,5,4,1,0
"./bp_sets/ltl3tela.hoa:435.1-471.7",,3,8,19,47,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.792748,3,8,19,47,1,8,0,0,0
"./bp_sets/ltl3tela.hoa:472.1-491.7",,3,4,6,32,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.796647,3,4,6,32,1,4,0,0,0
"./bp_sets/ltl3tela.hoa:492.1-511.7",,2,4,6,16,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.790475,2,4,6,16,1,4,0,0,0
"./bp_sets/ltl3tela.hoa:512.1-528.7",,1,3,4,6,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.788928,1,3,4,6,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:529.1-543.7",,2,2,3,7,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.780456,2,2,3,7,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:544.1-556.7",,1,2,2,3,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.773002,1,2,2,3,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:557.1-569.7",,1,2,2,3,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.769982,1,2,2,3,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:570.1-600.7",,3,6,17,51,4,6,2,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.833189,3,6,17,51,2,6,2,1,0
"./bp_sets/ltl3tela.hoa:601.1-639.7",,2,10,20,39,2,10,2,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.832747,2,10,20,39,2,10,2,1,0
"./bp_sets/ltl3tela.hoa:640.1-673.7",,4,8,16,104,1,8,2,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.782121,4,8,16,104,1,8,2,1,0
"./bp_sets/ltl3tela.hoa:674.1-685.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.784964,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:686.1-722.7",,2,8,20,30,2,7,3,1,0,"python3 ./main.py -F%H -O%O -L 2","ok",0,0.816654,2,8,20,30,2,7,3,1,0
