"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"./bp_sets/ltl3tela.hoa:1.1-41.7",,3,10,22,52,0,10,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.753498,3,10,22,52,0,10,4,1,0
"./bp_sets/ltl3tela.hoa:42.1-60.7",,2,3,6,12,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.764112,2,3,6,12,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:61.1-72.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.754406,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:73.1-88.7",,2,2,4,8,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.76471,2,2,4,8,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:89.1-110.7",,2,3,10,14,2,3,1,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.761061,2,3,10,14,2,3,1,1,0
"./bp_sets/ltl3tela.hoa:111.1-128.7",,2,4,5,13,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.753969,2,4,5,13,0,4,0,0,0
"./bp_sets/ltl3tela.hoa:129.1-143.7",,1,2,3,4,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.756455,1,2,3,4,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:144.1-154.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.774204,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:155.1-181.7",,3,6,12,45,1,4,2,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.763258,3,6,12,45,1,4,2,1,0
"./bp_sets/ltl3tela.hoa:182.1-193.7",,1,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.756273,1,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:194.1-204.7",,0,1,0,0,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.753174,0,1,0,0,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:205.1-322.7",,3,29,80,190,1,26,10,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.761718,3,29,80,190,1,26,10,1,0
"./bp_sets/ltl3tela.hoa:323.1-338.7",,3,2,4,16,1,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.755272,3,2,4,16,1,1,0,0,0
"./bp_sets/ltl3tela.hoa:339.1-356.7",,3,3,5,14,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.751342,3,3,5,14,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:357.1-382.7",,3,5,12,39,0,5,3,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.761306,3,5,12,39,0,5,3,1,0
"./bp_sets/ltl3tela.hoa:383.1-399.7",,2,4,4,7,0,4,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.749382,2,4,4,7,0,4,0,0,0
"./bp_sets/ltl3tela.hoa:400.1-411.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.755012,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:412.1-434.7",,3,5,9,34,1,5,4,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.760501,3,5,9,34,1,5,4,1,0
"./bp_sets/ltl3tela.hoa:435.1-471.7",,3,8,19,47,1,8,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.754979,3,8,19,47,1,8,0,0,0
"./bp_sets/ltl3tela.hoa:472.1-491.7",,3,4,6,32,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.769911,3,4,6,32,1,4,0,0,0
"./bp_sets/ltl3tela.hoa:492.1-511.7",,2,4,6,16,1,4,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.772063,2,4,6,16,1,4,0,0,0
"./bp_sets/ltl3tela.hoa:512.1-528.7",,1,3,4,6,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.753534,1,3,4,6,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:529.1-543.7",,2,2,3,7,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.761938,2,2,3,7,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:544.1-556.7",,1,2,2,3,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.763621,1,2,2,3,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:557.1-569.7",,1,2,2,3,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.774934,1,2,2,3,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:570.1-600.7",,3,6,17,51,4,6,2,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.767252,3,6,17,51,2,6,2,1,0
"./bp_sets/ltl3tela.hoa:601.1-639.7",,2,10,20,39,2,10,2,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.760231,2,10,20,39,2,10,2,1,0
"./bp_sets/ltl3tela.hoa:640.1-673.7",,4,8,16,104,1,8,2,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.747421,4,8,16,104,1,8,2,1,0
"./bp_sets/ltl3tela.hoa:674.1-685.7",,0,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.765804,0,1,1,1,0,1,0,0,0
"./bp_sets/ltl3tela.hoa:686.1-722.7",,2,8,20,30,2,7,3,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.765522,2,8,20,30,2,7,3,1,0
"./bp_sets/ltl3tela.hoa:723.1-759.7",,2,9,18,32,1,9,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.744897,2,9,18,32,1,9,0,0,0
"./bp_sets/ltl3tela.hoa:760.1-782.7",,4,4,10,52,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.771736,4,4,10,52,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:783.1-795.7",,1,2,2,3,0,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.746619,1,2,2,3,0,2,0,0,0
"./bp_sets/ltl3tela.hoa:796.1-813.7",,3,3,5,24,1,3,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.741026,3,3,5,24,1,3,0,0,0
"./bp_sets/ltl3tela.hoa:814.1-847.7",,3,6,20,50,3,4,3,1,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.773753,3,6,20,50,3,4,3,1,0
"./bp_sets/ltl3tela.hoa:848.1-863.7",,2,2,4,8,1,2,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.75793,2,2,4,8,1,2,0,0,0
"./bp_sets/ltl3tela.hoa:864.1-875.7",,1,1,1,1,0,1,0,0,0,"python3 ./main.py -F%H -O%O -L 1","ok",0,0.755832,1,1,1,1,0,1,0,0,0
